panel	compound_id	name	reported_smiles	reported_inchikey	computed_inchikey	structure_roundtrip_exact	single_covalent_component	exact_davis_parent_overlap	exact_davis_murcko_overlap	maximum_davis_morgan2_tanimoto	eligibility_status
OKL2026	HMSL10494	ORANTINIB	Cc1[nH]c(/C=C2\C(=O)Nc3ccccc32)c(C)c1CCC(=O)O	NHFDRBXTEDBWCZ-ZROIWOOFSA-N	NHFDRBXTEDBWCZ-ZROIWOOFSA-N	true	true	false	true	0.39726027	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12072	ZD-4190	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1	YBTGTVGEKMZEQX-UHFFFAOYSA-N	YBTGTVGEKMZEQX-UHFFFAOYSA-N	true	true	false	false	0.62857143	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10189	BOSUTINIB	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	UBPYILGKFZZVDX-UHFFFAOYSA-N	UBPYILGKFZZVDX-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12147	CEP-1347	CCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O	SCMLRESZJCKCTC-KMYQRJGFSA-N	SCMLRESZJCKCTC-KMYQRJGFSA-N	true	true	false	true	0.55421687	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10132	BMS-387032	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1	OUSFTKFNBAZUKL-UHFFFAOYSA-N	OUSFTKFNBAZUKL-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10069	ENZASTAURIN	Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	AXRCEOKUDYDWLF-UHFFFAOYSA-N	AXRCEOKUDYDWLF-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10231	PF-03758309	Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1	AYCPARAPKDAOEN-LJQANCHMSA-N	AYCPARAPKDAOEN-LJQANCHMSA-N	true	true	false	false	0.21818182	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12140	TILFRINIB	Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1	RXPZOSHFGJWSLQ-UHFFFAOYSA-N	RXPZOSHFGJWSLQ-UHFFFAOYSA-N	true	true	false	false	0.22368421	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL11793	MK-5108	O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1	LCVIRAZGMYMNNT-UHFFFAOYSA-N	LCVIRAZGMYMNNT-UHFFFAOYSA-N	true	true	false	false	0.21904762	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL11656	CHIR-98014	Nc1nc(NCCNc2ncc(-n3ccnc3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-]	MDZCSIDIPDZWKL-UHFFFAOYSA-N	MDZCSIDIPDZWKL-UHFFFAOYSA-N	true	true	false	false	0.22448980	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10120	CANERTINIB	C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12145	AZAKENPAULLONE	O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1	NTSBZVCEIVPKBJ-UHFFFAOYSA-N	NTSBZVCEIVPKBJ-UHFFFAOYSA-N	true	true	false	false	0.18292683	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10697	GNE-3511	N#Cc1ccnc(Nc2cc(C3CCN(C4COC4)CC3)cc(N3CCC(F)(F)C3)n2)c1	RHFIAUKMKYHHFA-UHFFFAOYSA-N	RHFIAUKMKYHHFA-UHFFFAOYSA-N	true	true	false	false	0.19801980	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12061	TEPOTINIB	CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1	AHYMHWXQRWRBKT-UHFFFAOYSA-N	AHYMHWXQRWRBKT-UHFFFAOYSA-N	true	true	false	false	0.25000000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12078	CCT251545	Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1	LBFYQISQYCGDDW-UHFFFAOYSA-N	LBFYQISQYCGDDW-UHFFFAOYSA-N	true	true	false	false	0.21428571	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10375	RAVOXERTINIB	Cn1nccc1Nc1nccc(-c2ccn([C@H](CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1	RZUOCXOYPYGSKL-GOSISDBHSA-N	RZUOCXOYPYGSKL-GOSISDBHSA-N	true	true	false	false	0.25742574	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10395	RIBOCICLIB	CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1	RHXHGRAEPCAFML-UHFFFAOYSA-N	RHXHGRAEPCAFML-UHFFFAOYSA-N	true	true	false	false	0.25242718	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12077	BMS-911543	CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21	JCINBYQJBYJGDM-UHFFFAOYSA-N	JCINBYQJBYJGDM-UHFFFAOYSA-N	true	true	false	false	0.19000000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12082	ROCILETINIB	C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1	HUFOZJXAKZVRNJ-UHFFFAOYSA-N	HUFOZJXAKZVRNJ-UHFFFAOYSA-N	true	true	false	false	0.36274510	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10442	SCH772984	O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)[C@@H]1CCN(CC(=O)N2CCN(c3ccc(-c4ncccn4)cc3)CC2)C1	HDAJDNHIBCDLQF-RUZDIDTESA-N	HDAJDNHIBCDLQF-RUZDIDTESA-N	true	true	false	false	0.26732673	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10378	LY-2090314	O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2	HRJWTAWVFDCTGO-UHFFFAOYSA-N	HRJWTAWVFDCTGO-UHFFFAOYSA-N	true	true	false	false	0.26086957	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10060	TAK-715	CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1	HEKAIDKUDLCBRU-UHFFFAOYSA-N	HEKAIDKUDLCBRU-UHFFFAOYSA-N	true	true	false	false	0.27956989	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10215	GSK-319347A	COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC	LDTAHRLHGHFHKP-UHFFFAOYSA-N	LDTAHRLHGHFHKP-UHFFFAOYSA-N	true	true	false	false	0.28000000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10177	BRIVANIB	Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1	WCWUXEGQKLTGDX-LLVKDONJSA-N	WCWUXEGQKLTGDX-LLVKDONJSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL11465	A-674563	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	BPNUQXPIQBZCMR-IBGZPJMESA-N	BPNUQXPIQBZCMR-IBGZPJMESA-N	true	true	true	false	0.75438596	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10540	FASUDIL	O=S(=O)(c1cccc2cnccc12)N1CCCNCC1	NGOGFTYYXHNFQH-UHFFFAOYSA-N	NGOGFTYYXHNFQH-UHFFFAOYSA-N	true	true	false	false	0.21428571	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10660	RG-547	COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N	JRNJNYBQQYBCLE-UHFFFAOYSA-N	JRNJNYBQQYBCLE-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12070	PD-17395	CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1	VAARYSWULJUGST-UHFFFAOYSA-N	VAARYSWULJUGST-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10103	STAUROSPORINE	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	HKSZLNNOFSGOKW-FYTWVXJKSA-N	HKSZLNNOFSGOKW-FYTWVXJKSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL11246	DANUSERTIB	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1	HKSZLNNOFSGOKW-FYTWVXJKSA-N	XKFTZKGMDDZMJI-HSZRJFAPSA-N	false	true	true	false	0.25000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12148	H-1152P	Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12	AWDORCFLUJZUQS-ZDUSSCGKSA-N	AWDORCFLUJZUQS-ZDUSSCGKSA-N	true	true	false	false	0.22471910	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
